"Ano";"Mês";"Código da Função";"Função";"Código de Sub-função";"Sub-função";"Código de Programa";"Programa";"Código da Ação";"Ação";"Código da Fonte";"Fonte";"Dotação Inicial";"Dotação Atualizada";"Empenhado";"Liquidado";"Pago"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2085";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE PRÓPRIA                                                                                                                                             ";"0602";"TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO - ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"13  ";"CULTURA                                                ";"392 ";"DIFUSÃO CULTURAL                                                                                                        ";"1211";"VALORIZAÇÃO DA CULTURA                                                                                                  ";"2304";"PROMOÇÕES DE AÇÕES CULTURAIS                                                                                                                                                                            ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"12  ";"EDUCAÇÃO                                               ";"361 ";"ENSINO FUNDAMENTAL                                                                                                      ";"1206";"ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM                                                                          ";"2125";"IMPLANTAÇÃO E MANUTENÇÃO DO QUADRO TECNOLÓGICO NAS UNIDADES EDUCACIONAIS                                                                                                                                ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2085";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE PRÓPRIA                                                                                                                                             ";"0765";"PROGRAMA DE EFICIÊNCIA MUNICIPAL - PEM BB              ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"15  ";"URBANISMO                                              ";"846 ";"OUTROS ENCARGOS ESPECIAIS                                                                                               ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"2701";"ENCARGOS COM OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS                                                                                                                                                     ";"0501";"OUTROS RECURSOS NÃO VINCULADOS                         ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2883";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE COMPLEMENTAR                                                                                                                                        ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"305 ";"VIGILÂNCIA EPIDEMIOLÓGICA                                                                                               ";"1217";"FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE                                                                         ";"2612";"FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA AMBIENTAL PARA O CONTROLE DE DOENÇAS E AGRAVOS                                                                                                                   ";"0600";"TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SE";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2161";"GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ";"2601";"MELHORIA E MANUTENÇÃO DAS INSTALAÇÕES DA PREFEITURA DO RECIFE                                                                                                                                           ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"302 ";"ASSISTÊNCIA HOSPITALAR E AMBULATORIAL                                                                                   ";"1238";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO À SAÚDE DE MÉDIA E ALTA COMPLEXIDADE                                           ";"2085";"GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE PRÓPRIA                                                                                                                                             ";"0708";"TRANSF. UNIÃO À COMP. FINANC. REC. MINERAIS            ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"14  ";"DIREITOS DA CIDADANIA                                  ";"422 ";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ";"1252";"GESTÃO DA POLÍTICA INTEGRADA DE PREVENÇÃO À VIOLÊNCIA E PROMOÇÃO DA CULTURA DE PAZ E JUSTIÇA RESTAURATIVA               ";"2093";"ESTRUTURAÇÃO E MANUTENÇÃO DOS CENTROS COMUNITÁRIOS DA PAZ - COMPAZ                                                                                                                                      ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
