Ano;Mês;Código da Função;Função;Código de Sub-função;Sub-função;Código de Programa;Programa;Código da Ação;Ação;Código da Fonte;Fonte;Dotação Inicial;Dotação Atualizada;Empenhado;Liquidado;Pago
2026;1;15  ;URBANISMO                                              ;243 ;ASSISTÊNCIA À CRIANÇA E AO ADOLESCENTE                                                                                  ;1247;PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ;2113;APOIO À PRIMEIRA INFÂNCIA                                                                                                                                                                               ;0754;RECURSOS DE OPERAÇÕES DE CRÉDITO                       ;130000000.0;130000000.0;1812218.47;0.0;0.0
2026;1;09  ;PREVIDÊNCIA SOCIAL                                     ;272 ;PREVIDÊNCIA DO REGIME ESTATUTÁRIO                                                                                       ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9009;ENCARGOS COM INATIVOS E PENSIONISTAS DO IASC - REGIME PRÓPRIO DO MUNICÍPIO                                                                                                                              ;0800;RECURSOS VINC. AO RPPS - FUNDO CAPIT. (PLANO PREV.)    ;10000.0;60000.0;3274.44;3274.44;2735.24
2026;1;13  ;CULTURA                                                ;846 ;OUTROS ENCARGOS ESPECIAIS                                                                                               ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;2701;ENCARGOS COM OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS                                                                                                                                                     ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;10000.0;10000.0;0.0;0.0;0.0
2026;1;10  ;SAÚDE                                                  ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;1236;EXPANSÃO E MELHORIA NA INFRAESTRUTURA DE ATENDIMENTO EM SAÚDE                                                           ;1659;CONSTRUÇÃO, REFORMA, AMPLIAÇÃO E EQUIPAGEM DE UNIDADES DE SAÚDE                                                                                                                                         ;0754;RECURSOS DE OPERAÇÕES DE CRÉDITO                       ;100000.0;100000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;365 ;EDUCAÇÃO INFANTIL                                                                                                       ;1247;PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ;2113;APOIO À PRIMEIRA INFÂNCIA                                                                                                                                                                               ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;3110000.0;3110000.0;0.0;0.0;0.0
2026;1;28  ;ENCARGOS ESPECIAIS                                     ;846 ;OUTROS ENCARGOS ESPECIAIS                                                                                               ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9002;CONTRIBUIÇÕES PARA O PIS/PASEP                                                                                                                                                                          ;0708;TRANSF. UNIÃO À COMP. FINANC. REC. MINERAIS            ;0.0;16000.0;8000.0;1478.24;1478.24
2026;1;23  ;COMÉRCIO E SERVIÇOS                                    ;272 ;PREVIDÊNCIA DO REGIME ESTATUTÁRIO                                                                                       ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9021;ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES - REGIME PRÓPRIO                                                                                                                                       ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;10000.0;10000.0;0.0;0.0;0.0
2026;1;15  ;URBANISMO                                              ;182 ;DEFESA CIVIL                                                                                                            ;1303;GESTÃO DE RISCO EM ENCOSTAS E ALAGADOS                                                                                  ;2211;DEFESA CIVIL PERMANENTE                                                                                                                                                                                 ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;56040000.0;56040000.0;17730327.78;2434200.0;2434200.0
2026;1;10  ;SAÚDE                                                  ;305 ;VIGILÂNCIA EPIDEMIOLÓGICA                                                                                               ;1217;FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE                                                                         ;2087;FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA EPIDEMIOLÓGICA PARA O CONTROLE DE DOENÇAS E AGRAVOS                                                                                                              ;0600;TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SE;1920000.0;6289962.0;1078277.84;17097.7;11210.25
2026;1;09  ;PREVIDÊNCIA SOCIAL                                     ;272 ;PREVIDÊNCIA DO REGIME ESTATUTÁRIO                                                                                       ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9035;COMPENSAÇÕES A REGIMES DE PREVIDÊNCIA                                                                                                                                                                   ;0800;RECURSOS VINC. AO RPPS - FUNDO CAPIT. (PLANO PREV.)    ;10000.0;10000.0;0.0;0.0;0.0
