"Ano";"Mês";"Poder";"Código órgão";"Órgão setorial";"Código da unidade";"Unidade gestora";"Código da despesa";"Categoria da despesa";"Código do grupo de despesa";"Grupo de despesa";"Código da modalidade";"Modalidade";"Dotação atualizada";"Dotação inicial";"Empenhado";"Liquidado";"Pago"
"2024";"9";"EXECUTIVO                                         ";"43";"PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO SUPERVISIONADA                                      ";"43.02";"FUNDO ESPECIAL DE APOIO À PROCURADORIA DO MUNICÍPIO DO RECIFE - FEAPMR                              ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"418.52";"333208.5";"281159.11"
"2024";"2";"EXECUTIVO                                         ";"80";"ENCARGOS GERAIS DO MUNICÍPIO                                                                        ";"80.01";"RECURSOS SOB A GESTÃO DA SECRETARIA DE FINANÇAS                                                     ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-1305106.76";"0.0";"13471733.09";"13726884.62";"3607557.64"
"2024";"2";"EXECUTIVO                                         ";"23";"SECRETARIA DE SANEAMENTO                                                                            ";"23.01";"SECRETARIA DE SANEAMENTO - ADMINISTRAÇÃO DIRETA                                                     ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"430447.26";"430447.26";"385136.87"
"2024";"3";"EXECUTIVO                                         ";"22";"SECRETARIA DA MULHER                                                                                ";"22.01";"SECRETARIA DA MULHER - ADMINISTRAÇÃO DIRETA                                                         ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"526680.04";"526680.04";"648272.08"
"2024";"2";"EXECUTIVO                                         ";"23";"SECRETARIA DE SANEAMENTO                                                                            ";"23.01";"SECRETARIA DE SANEAMENTO - ADMINISTRAÇÃO DIRETA                                                     ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"74238.17";"272352.63";"226931.27"
"2024";"3";"EXECUTIVO                                         ";"22";"SECRETARIA DA MULHER                                                                                ";"22.01";"SECRETARIA DA MULHER - ADMINISTRAÇÃO DIRETA                                                         ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"165632.18";"342044.77";"366540.3"
"2024";"6";"EXECUTIVO                                         ";"80";"ENCARGOS GERAIS DO MUNICÍPIO                                                                        ";"80.01";"RECURSOS SOB A GESTÃO DA SECRETARIA DE FINANÇAS                                                     ";"3";"DESPESAS CORRENTES                                                                                  ";"2";"JUROS E ENCARGOS DA DÍVIDA                                                                          ";"91  ";"APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ";"";"";"726249.51";"726249.51";"726249.51"
"2024";"4";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"203471.23";"203471.23";"182728.78"
"2024";"3";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"3";"DESPESAS CORRENTES                                                                                  ";"2";"JUROS E ENCARGOS DA DÍVIDA                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"0.0";"16144.24";"0.0"
"2024";"4";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"720142.0";"0.0";"160888.99";"224693.05";"169130.83"
