Ano;Mês;Poder;Código órgão;Órgão setorial;Código da unidade;Unidade gestora;Código da despesa;Categoria da despesa;Código do grupo de despesa;Grupo de despesa;Código da modalidade;Modalidade;Dotação atualizada;Dotação inicial;Empenhado;Liquidado;Pago
2026;1;EXECUTIVO                                         ;25;SECRETARIA DE ARTICULAÇÃO POLÍTICA E SOCIAL                                                         ;25.01;SECRETARIA DE ARTICULAÇÃO POLÍTICA E SOCIAL - ADMINISTRAÇÃO DIRETA                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;76720000.0;77870000.0;10370762.43;314056.77;294018.35
2026;2;EXECUTIVO                                         ;50;SECRETARIA DE INFRAESTRUTURA - ADMINISTRAÇÃO SUPERVISIONADA                                         ;50.10;AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA - EMLURB                                                   ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;493954.04;0.0;53316222.48;51779042.09;46265359.09
2026;1;EXECUTIVO                                         ;04;GABINETE DE INOVAÇÃO URBANA                                                                         ;04.01;GABINETE DE INOVAÇÃO URBANA - ADMINISTRAÇÃO DIRETA                                                  ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;2280000.0;2280000.0;200595.57;200595.57;178374.99
2026;1;EXECUTIVO                                         ;61;SECRETARIA DE ADMINISTRAÇÃO - ADMINISTRAÇÃO SUPERVISIONADA                                          ;61.01;AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES                             ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;101376000.0;106640000.0;9710309.24;7474671.2;7392398.52
2026;1;EXECUTIVO                                         ;68;SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA - ADMINISTRAÇÃO SUPERVISIONADA                              ;68.01;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU                                          ;4;DESPESAS DE CAPITAL                                                                                 ;6;AMORTIZAÇÃO DA DÍVIDA                                                                               ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;10000.0;10000.0;;;
2026;3;EXECUTIVO                                         ;47;SECRETARIA DE TRANSFORMAÇÃO DIGITAL, CIÊNCIA E TECNOLOGIA - ADMINISTRAÇÃO SUPERVISIONADA            ;47.02;FUNDO MUNICIPAL DE FOMENTO AO EMPREENDEDORISMO - RECIFE ACREDITA - FMFE                             ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;0.0;0.0;60000.0
2026;1;EXECUTIVO                                         ;62;SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ;62.02;FUNDO DE INCENTIVO À CULTURA - FIC                                                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;4214264.39;7500000.0;635659.4;242223.0;0.0
2026;4;EXECUTIVO                                         ;60;SECRETARIA DE DIREITOS HUMANOS E JUVENTUDE - ADMINISTRAÇÃO SUPERVISIONADA                           ;60.03;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA - FMDPI                                                ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;50  ;TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ;;;110000.0;66000.0;66000.0
2026;1;EXECUTIVO                                         ;28;GABINETE DE REPRESENTAÇÃO EM BRASÍLIA                                                               ;28.01;GABINETE DE REPRESENTAÇÃO EM BRASÍLIA - ADMINISTRAÇÃO DIRETA                                        ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;10000.0;10000.0;;;
2026;2;EXECUTIVO                                         ;59;SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME - ADM. SUPERVISIONADA                             ;59.01;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL - FMAS                                                        ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;2892790.98;0.0;22879193.17;7292256.92;6449218.98
2026;1;EXECUTIVO                                         ;61;SECRETARIA DE ADMINISTRAÇÃO - ADMINISTRAÇÃO SUPERVISIONADA                                          ;61.01;AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES                             ;3;DESPESAS CORRENTES                                                                                  ;2;JUROS E ENCARGOS DA DÍVIDA                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;350000.0;0.0;;;
